suite,kernel,source_spec,target_spec,source_api,target_api,source_files,target_files,complexity_class
rodinia,srad,rodinia-srad-omp,rodinia-srad-opencl,omp,opencl,1,1,single_file
rodinia,srad,rodinia-srad-opencl,rodinia-srad-cuda,opencl,cuda,1,2,single_to_multi
rodinia,srad,rodinia-srad-opencl,rodinia-srad-omp,opencl,omp,1,1,single_file
rodinia,streamcluster,rodinia-streamcluster-cuda,rodinia-streamcluster-omp,cuda,omp,2,1,multi_to_single
rodinia,streamcluster,rodinia-streamcluster-cuda,rodinia-streamcluster-opencl,cuda,opencl,2,1,multi_to_single
rodinia,streamcluster,rodinia-streamcluster-omp,rodinia-streamcluster-cuda,omp,cuda,1,2,single_to_multi
rodinia,streamcluster,rodinia-streamcluster-omp,rodinia-streamcluster-opencl,omp,opencl,1,1,single_file
rodinia,streamcluster,rodinia-streamcluster-opencl,rodinia-streamcluster-cuda,opencl,cuda,1,2,single_to_multi
rodinia,streamcluster,rodinia-streamcluster-opencl,rodinia-streamcluster-omp,opencl,omp,1,1,single_file
rsbench,rsbench,rsbench-rsbench-cuda,rsbench-rsbench-omp,cuda,omp,2,1,multi_to_single
rsbench,rsbench,rsbench-rsbench-cuda,rsbench-rsbench-omp_target,cuda,omp_target,2,1,multi_to_single
rsbench,rsbench,rsbench-rsbench-cuda,rsbench-rsbench-opencl,cuda,opencl,2,1,multi_to_single
rsbench,rsbench,rsbench-rsbench-omp,rsbench-rsbench-cuda,omp,cuda,1,2,single_to_multi
rsbench,rsbench,rsbench-rsbench-omp,rsbench-rsbench-omp_target,omp,omp_target,1,1,single_file
rsbench,rsbench,rsbench-rsbench-omp,rsbench-rsbench-opencl,omp,opencl,1,1,single_file
rsbench,rsbench,rsbench-rsbench-omp_target,rsbench-rsbench-cuda,omp_target,cuda,1,2,single_to_multi
rsbench,rsbench,rsbench-rsbench-omp_target,rsbench-rsbench-omp,omp_target,omp,1,1,single_file
rsbench,rsbench,rsbench-rsbench-omp_target,rsbench-rsbench-opencl,omp_target,opencl,1,1,single_file
rsbench,rsbench,rsbench-rsbench-opencl,rsbench-rsbench-cuda,opencl,cuda,1,2,single_to_multi
rsbench,rsbench,rsbench-rsbench-opencl,rsbench-rsbench-omp,opencl,omp,1,1,single_file
rsbench,rsbench,rsbench-rsbench-opencl,rsbench-rsbench-omp_target,opencl,omp_target,1,1,single_file
xsbench,xsbench,xsbench-xsbench-cuda,xsbench-xsbench-omp,cuda,omp,2,2,multi_to_multi
xsbench,xsbench,xsbench-xsbench-cuda,xsbench-xsbench-omp_target,cuda,omp_target,2,1,multi_to_single
xsbench,xsbench,xsbench-xsbench-cuda,xsbench-xsbench-opencl,cuda,opencl,2,1,multi_to_single
xsbench,xsbench,xsbench-xsbench-omp,xsbench-xsbench-cuda,omp,cuda,2,2,multi_to_multi
xsbench,xsbench,xsbench-xsbench-omp,xsbench-xsbench-omp_target,omp,omp_target,2,1,multi_to_single
xsbench,xsbench,xsbench-xsbench-omp,xsbench-xsbench-opencl,omp,opencl,2,1,multi_to_single
xsbench,xsbench,xsbench-xsbench-omp_target,xsbench-xsbench-cuda,omp_target,cuda,1,2,single_to_multi
xsbench,xsbench,xsbench-xsbench-omp_target,xsbench-xsbench-omp,omp_target,omp,1,2,single_to_multi
xsbench,xsbench,xsbench-xsbench-omp_target,xsbench-xsbench-opencl,omp_target,opencl,1,1,single_file
xsbench,xsbench,xsbench-xsbench-opencl,xsbench-xsbench-cuda,opencl,cuda,1,2,single_to_multi
xsbench,xsbench,xsbench-xsbench-opencl,xsbench-xsbench-omp,opencl,omp,1,2,single_to_multi
xsbench,xsbench,xsbench-xsbench-opencl,xsbench-xsbench-omp_target,opencl,omp_target,1,1,single_file
